tf,target,edge_score,ASI,blacklisted,pert_abs_delta,pert_significant,source
IRF1,CD3D,0.030862888,1.0838586,True,0.01960142285547714,False,Dixit
IRF1,CD3E,0.044795692,1.0781212,True,0.0001847178184373557,False,Dixit
IRF1,CD4,-0.03605908,0.0959078,False,0.0023113188723540307,False,Dixit
IRF1,CD19,-0.039611228,1.5977114,True,0.0007695380412678296,False,Dixit
IRF1,MS4A1,-0.065319434,0.0971724,False,0.0,False,Dixit
IRF1,CD79A,-0.042620547,0.9309967,True,0.0023031334261073766,False,Dixit
IRF1,CD79B,-0.04407359,1.0535823,True,0.0005191988778576958,False,Dixit
IRF1,CD14,-0.015949912,4.2100167,True,0.0015660481298557516,False,Dixit
IRF1,CD68,-0.033410437,1.4759276,True,0.01983872704511236,False,Dixit
IRF1,ITGAM,0.062375177,0.42350516,False,0.00012000998583724866,False,Dixit
IRF1,ITGAX,0.066276096,2.338468,True,0.00013300393816419206,False,Dixit
IRF1,FCGR3A,0.05341161,0.17898026,False,0.0002947964449756422,False,Dixit
IRF1,CSF1R,-0.048401594,1.2443998,True,0.0001505065117671619,False,Dixit
IRF1,IL2,-0.02286173,0.74504876,True,0.0006890599151222493,True,Dixit
IRF1,IL6,-0.006148399,3.752195,True,0.001266467252093782,False,Dixit
IRF1,IL10,-0.02602524,0.8253302,True,0.0003230703741302723,False,Dixit
IRF1,IL17A,0.0048710043,0.80337024,True,0.0,False,Dixit
IRF1,TNF,0.030924164,2.6334891,True,0.00063249628374443,False,Dixit
IRF1,TNFRSF9,0.05811013,0.5752531,True,0.0008607562810597852,False,Dixit
IRF1,TNFRSF18,0.029902752,1.494007,True,0.000361689204765508,False,Dixit
IRF1,GZMB,0.1158608,0.35537025,False,0.0,False,Dixit
IRF1,PRF1,0.13874614,0.30811688,False,0.0014926062871873501,False,Dixit
IRF1,GNLY,0.08751718,0.04807882,False,0.0004263317402213681,False,Dixit
IRF1,NKG7,0.112614736,0.7388082,True,0.001474027924985848,False,Dixit
IRF1,CCL5,0.10682755,0.25725973,False,0.004836758168988571,False,Dixit
IRF1,CCR7,-0.009023514,1.6002897,True,0.0002114478468629022,False,Dixit
IRF1,CXCR4,0.05566848,0.47245425,False,0.0007677458293822742,False,Dixit
IRF1,CCL2,-0.031213362,1.0433292,True,0.001099625014652873,False,Dixit
IRF1,CXCL10,0.017526884,1.255672,True,0.0,False,Dixit
IRF1,HLA-B,0.11653053,0.1503999,False,0.0006095819187201172,False,Dixit
IRF1,HLA-C,0.10862578,0.6669961,True,0.00027111618411555284,False,Dixit
IRF1,B2M,0.029264424,0.23146646,False,0.025139269070892922,False,Dixit
IRF1,LYZ,-0.049120553,1.4984895,True,0.026389294044455835,False,Dixit
IRF1,S100A8,0.036558565,1.3863888,True,0.000297558650198829,False,Dixit
IRF1,S100A9,0.011174014,4.8784385,True,3.293709519006777e-05,False,Dixit
IRF1,SELL,0.06698592,0.45894146,False,0.0001851227148001851,False,Dixit
IRF1,ITGB1,0.0030435417,1.4748762,True,0.011020340594970646,False,Dixit
IRF1,ICAM1,0.117041774,0.34463498,False,0.005224501796230505,False,Dixit
IRF1,MKI67,-0.00767412,0.55835265,True,0.002438701866344928,False,Dixit
IRF1,TOP2A,-0.01541,0.06769948,False,0.007462691106804531,False,Dixit
IRF1,CDK1,-0.017720692,1.8743563,True,0.029078708074106174,False,Dixit
IRF1,PCNA,0.011325801,2.1151679,True,0.014729693883924144,False,Dixit
IRF1,BCL2,0.0053626457,5.918864,True,0.0020795232020461405,False,Dixit
IRF1,BCL2L1,-0.061613582,0.5597462,True,0.02486234140470933,False,Dixit
IRF1,MCL1,0.15449499,0.16372393,False,0.004086314088598775,False,Dixit
IRF1,BAX,0.0070002857,4.214457,True,0.011581344288292272,False,Dixit
IRF1,BAK1,0.025913037,0.33819804,False,0.01831533694524279,True,Dixit
IRF1,PDCD1,0.008485334,5.4047427,True,0.0009677334490625232,False,Dixit
IRF1,LAG3,0.034241404,0.4213611,False,0.0008428164437320478,False,Dixit
IRF1,HAVCR2,-0.009825505,1.5878698,True,0.0002947165805942865,False,Dixit
IRF1,TOX,0.042923562,0.12803711,False,0.0002317433984657842,False,Dixit
IRF1,FN1,-0.036736354,1.7595567,True,0.004441264920738933,False,Dixit
IRF1,COL1A1,0.032253064,0.8106156,True,0.00044152164966394813,False,Dixit
IRF1,VIM,0.044936355,1.1922805,True,0.04918811598274142,True,Dixit
IRF1,ACTA2,0.002482481,4.8007665,True,8.980217489149905e-05,False,Dixit
IRF1,CDH1,0.009736719,2.5109353,True,0.0011077282421218923,False,Dixit
IRF1,EPCAM,0.049798943,0.29178417,False,0.031382365656667854,True,Dixit
IRF1,SFTPB,-0.016934821,1.579103,True,7.334748492170717e-05,False,Dixit
IRF1,SFTPA1,-0.010611653,1.1205723,True,0.0003051400427721194,False,Dixit
IRF1,SCGB1A1,0.0007618675,1.1881989,True,0.0002853724914428893,False,Dixit
IRF1,MUC5AC,-0.015641112,1.9118874,True,0.0,False,Dixit
IRF1,FOXJ1,0.012701316,5.1295533,True,5.2774771596587716e-05,False,Dixit
IRF1,VWF,-0.007320377,1.6236205,True,0.0,False,Dixit
IRF1,NOTCH1,0.07705542,0.556078,True,0.009109385902356257,False,Dixit
IRF1,DLL4,0.00024802145,8.023666,True,0.0009031145053012392,False,Dixit
IRF1,JAG1,0.0049451427,2.161523,True,0.00032499721156474363,False,Dixit
IRF1,CTNNB1,0.007004573,2.7709656,True,0.0009487717291231379,False,Dixit
IRF1,TGFB1,0.103780955,0.51544863,True,0.011814236729418615,False,Dixit
IRF1,TGFBR1,0.025352083,2.781829,True,0.008261765191456605,False,Dixit
IRF1,SMAD3,0.00895777,5.247029,True,0.004424527680787917,False,Dixit
IRF1,SMAD7,0.03923219,0.16152206,False,0.006828140572722442,False,Dixit
IRF1,SOD2,0.104065314,0.6544483,True,0.012105827100117206,False,Dixit
IRF1,HMOX1,-0.040082455,0.73321545,True,0.00012476412908046412,False,Dixit
IRF1,NQO1,-0.0025191952,3.3016467,True,0.010146178556779184,False,Dixit
IRF1,GSTP1,0.00032188534,3.4074147,True,0.01553435007132764,False,Dixit
IRF1,GAPDH,-0.001183908,1.1655135,True,0.018695543571718876,False,Dixit
IRF1,ACTB,-0.014392276,1.2993722,True,0.02014246289015209,False,Dixit
IRF1,RPL13A,-0.074646175,0.4823195,False,0.0390677514005513,False,Dixit
IRF1,RPS18,-0.074808754,0.8577491,True,0.022698406521796777,False,Dixit
IRF1,PTPRC,0.1401138,0.4053296,False,0.005646410907450744,False,Dixit
IRF1,ENG,-0.032960005,1.1012235,True,0.00018946514769857883,False,Dixit
ETS1,CD3D,0.5620303,0.029689996,False,0.022819551741624144,True,Dixit
ETS1,CD3E,0.5934259,0.006437402,False,0.0013370071219071023,False,Dixit
ETS1,CD4,-0.026693437,3.8495517,True,0.00032434053899618373,False,Dixit
ETS1,CD19,-0.007051407,1.1947675,True,0.0012189324817695989,False,Dixit
