tf,target,score,asi,class1_pass,distance_mb,class2_pass,topo_q,topo_excess,class3_pass,passes_all
TF000,TG003,0.5154587806598184,1.5515010988358162e-05,True,,True,1.0,4.440892098500626e-15,True,True
TF000,TG005,0.385252873525813,0.0016825005571100525,True,50.813392,True,1.0,-1.609823385706477e-15,False,False
TF000,TG007,0.8001873900736259,0.0003120084060203568,True,,True,1.0,1.7985612998927536e-14,True,True
TF000,TG012,0.5759207089576049,0.0019320773572018449,True,,True,1.0,5.551115123125783e-15,True,True
TF000,TG013,0.7902845165701823,0.0009098937484512124,True,,True,1.0,2.220446049250313e-16,True,True
TF000,TG014,0.372648829465556,0.12620234543955614,True,,True,1.0,-4.163336342344337e-15,False,False
TF000,TG015,0.9570339146058964,0.04543026423229083,True,,True,1.0,1.6653345369377348e-15,True,True
TF000,TG016,0.5757347900424445,0.025607392323886306,True,,True,1.0,1.887379141862766e-15,True,True
TF000,TG017,0.7035638060103343,0.038955649699154236,True,,True,1.0,-1.8540724511240114e-14,False,False
TF000,TG018,0.5384562955493069,0.0006625303434136468,True,,True,1.0,8.43769498715119e-15,True,True
TF000,TG019,0.813277260290117,0.0005684963521056487,True,,True,1.0,9.325873406851315e-15,True,True
TF000,TG020,0.7931685140679893,0.0036893636980208037,True,,True,1.0,-1.2434497875801753e-14,False,False
TF000,TG021,0.5813960175365448,0.09580908600806243,True,,True,1.0,9.103828801926284e-15,True,True
TF000,TG022,0.6151128706678078,0.0011503952864947323,True,74.067088,True,1.0,-1.6653345369377348e-15,False,False
TF000,TG026,0.39896038190683714,0.002402199665350992,True,,True,1.0,2.4980018054066022e-15,True,True
TF000,TG027,0.6819189226979985,0.0008497767149173622,True,,True,1.0,-3.6637359812630166e-15,False,False
TF000,TG028,0.6065803878654533,0.05856764049432628,True,,True,1.0,3.1086244689504383e-15,True,True
TF000,TG030,0.5001745943937406,0.004321879772100665,True,,True,1.0,-1.1102230246251565e-16,False,False
TF000,TG031,0.7332978138396322,0.0014713727134153733,True,,True,1.0,3.3306690738754696e-15,True,True
TF000,TG033,0.37957118835949377,0.07885481125096565,True,61.821299,True,1.0,-3.219646771412954e-15,False,False
TF000,TG036,0.4685439868041347,0.0020548728410403443,True,,True,1.0,-2.4980018054066022e-15,False,False
TF000,TG037,0.7919640738485596,0.0008681043301351976,True,26.726777,True,1.0,-4.3298697960381105e-15,False,False
TF000,TG039,0.4343358926489727,0.03691922994769619,True,,True,1.0,9.159339953157541e-15,True,True
TF000,TG040,0.6898832630576571,0.07321177453283817,True,,True,1.0,-1.9206858326015208e-14,False,False
TF000,TG044,0.4470748265189375,0.0015162251719054135,True,,True,1.0,5.773159728050814e-15,True,True
TF000,TG046,0.9939907395484044,0.012253151439961989,True,,True,1.0,8.659739592076221e-15,True,True
TF000,TG052,0.8290581778014569,0.0029887055446701735,True,,True,1.0,-6.217248937900877e-15,False,False
TF000,TG055,0.6090683158131005,0.0011536500601061206,True,,True,1.0,5.551115123125783e-15,True,True
TF000,TG057,0.5177808514470489,0.1296006494965413,True,,True,1.0,1.3322676295501878e-15,True,True
TF000,TG058,0.4359802285193105,0.09427195435304651,True,,True,1.0,-6.106226635438361e-16,False,False
TF000,TG064,0.5749793854543577,0.0009098705331372217,True,,True,1.0,-8.215650382226158e-15,False,False
TF000,TG067,0.7228974034958549,0.00024627654063928245,True,,True,1.0,1.1213252548714081e-14,True,True
TF000,TG068,0.7896124183636217,0.02144235232273255,True,,True,1.0,3.774758283725532e-15,True,True
TF000,TG070,0.7531631370766694,0.00028988866326604785,True,,True,1.0,-7.105427357601002e-15,False,False
TF000,TG072,0.4685313462848031,0.024445888172394074,True,,True,1.0,4.440892098500626e-16,True,True
TF000,TG073,0.6316530016969757,0.000645168146419346,True,,True,1.0,-9.992007221626409e-15,False,False
TF000,TG077,0.5812778242993558,0.04997793089413016,True,,True,1.0,-6.439293542825908e-15,False,False
TF000,TG078,0.5987672964584039,0.04132869231309951,True,,True,1.0,8.548717289613705e-15,True,True
TF000,TG082,0.564217899193167,0.032821939367985796,True,56.779613,True,1.0,6.772360450213455e-15,True,True
TF000,TG083,0.7307967402954861,0.04665915325036789,True,,True,1.0,1.8207657603852567e-14,True,True
TF000,TG084,0.5614528708032189,0.1369626401886915,True,20.094017,True,1.0,-7.993605777301127e-15,False,False
TF000,TG088,0.3512827666326248,0.15355276637443604,True,15.911628,True,1.0,-6.661338147750939e-16,False,False
TF000,TG090,0.7866152496024885,1.3241511745769772e-05,True,1.455646,True,1.0,-3.219646771412954e-15,False,False
TF000,TG092,0.7132261818717265,0.03468376591760586,True,,True,1.0,-5.440092820663267e-15,False,False
TF000,TG097,0.5673379891582429,4.965464753129808e-05,True,,True,1.0,-6.328271240363392e-15,False,False
TF000,TG098,0.8305776851912878,0.06131991287445669,True,,True,1.0,-1.1546319456101628e-14,False,False
TF000,TG099,0.46923657869770624,0.008256896573456993,True,,True,1.0,3.2751579226442118e-15,True,True
TF001,TG002,0.44250723076575565,0.0007016541731755537,True,,True,1.0,1.5376588891058418e-14,True,True
TF001,TG006,0.3624224635248711,0.00018593964891531006,True,,True,1.0,4.9404924595819466e-15,True,True
TF001,TG010,0.2129676573442804,0.15159449028867653,True,,True,1.0,8.604228440844963e-16,True,True
TF001,TG011,0.4920422942618458,0.0020413476737254654,True,,True,1.0,2.6645352591003757e-15,True,True
TF001,TG014,0.5717813036466114,0.09143727920808317,True,43.952038,True,1.0,-4.773959005888173e-15,False,False
TF001,TG015,0.5047095105492618,0.0011009705076502037,True,,True,1.0,0.0,False,False
TF001,TG016,0.43229796003348026,0.0018439819149548952,True,44.786435,True,1.0,1.3322676295501878e-14,True,True
TF001,TG019,0.6308143522605637,0.0006706775456017315,True,,True,1.0,-1.1102230246251565e-14,False,False
TF001,TG022,0.4338077019155436,0.003397908587366105,True,,True,1.0,-6.5503158452884236e-15,False,False
TF001,TG024,-0.06254594928389334,1.5225884575150972,False,,True,1.0,7.494005416219807e-16,True,False
TF001,TG030,0.28671120903924907,0.0015337485031286758,True,,True,1.0,-3.2751579226442118e-15,False,False
TF001,TG033,0.3515269952894547,0.05604642310582173,True,,True,1.0,1.9984014443252818e-15,True,True
TF001,TG036,0.26122397801813435,0.004840993705018412,True,,True,1.0,1.1657341758564144e-15,True,True
TF001,TG038,0.6702410204421375,0.011192813527770526,True,42.376523,True,1.0,-2.1094237467877974e-15,False,False
TF001,TG039,0.30338271562093305,0.00482541198648872,True,,True,1.0,-2.7755575615628914e-15,False,False
TF001,TG040,0.20577146605245444,0.12293009034314169,True,,True,1.0,5.273559366969494e-16,True,True
TF001,TG041,0.2295203225585126,0.2431062753757813,True,,True,1.0,4.468647674116255e-15,True,True
TF001,TG044,0.27346270549797425,0.0015153179796514597,True,,True,1.0,4.6629367034256575e-15,True,True
TF001,TG045,0.19072795454853023,0.0003813538478489101,True,,True,1.0,3.1363800445660672e-15,True,True
TF001,TG046,0.7088530206606921,0.030580997822046433,True,,True,1.0,-8.770761894538737e-15,False,False
TF001,TG048,0.4747766216475505,0.010018636532746778,True,,True,1.0,-7.438494264988549e-15,False,False
TF001,TG051,0.3935732268525309,0.001749335243199967,True,,True,1.0,-3.4416913763379853e-15,False,False
TF001,TG054,0.15582273055804557,0.13969975073815485,True,52.347097,True,1.0,1.8318679906315083e-15,True,True
TF001,TG056,-0.028354096093854933,1.6732591541797843,False,,True,1.0,5.273559366969494e-16,True,False
TF001,TG057,0.5014776179667598,0.002185889605836532,True,,True,1.0,-8.104628079763643e-15,False,False
