tf,target,score,asi,class1_pass,distance_mb,class2_pass,topo_q,topo_excess,class3_pass,passes_all
TF000,TG000,0.7776187878685166,0.0,True,18.688069,True,1.0,9.547918011776346e-15,True,True
TF000,TG002,0.5425127038205574,2.0464461326095992e-16,True,,True,1.0,1.4988010832439613e-14,True,True
TF000,TG003,0.7325016027974297,0.0,True,,True,1.0,-1.532107773982716e-14,False,False
TF000,TG006,0.6815916961879338,0.0,True,,True,1.0,4.9960036108132044e-15,True,True
TF000,TG007,0.946611304538952,0.0,True,,True,1.0,1.0769163338864018e-14,True,True
TF000,TG008,0.774563388229688,1.4333533465384148e-16,True,,True,1.0,-5.662137425588298e-15,False,False
TF000,TG010,0.48388235761628623,0.0,True,,True,1.0,1.1102230246251565e-14,True,True
TF000,TG011,0.5375657188341798,0.0,True,,True,1.0,-1.27675647831893e-14,False,False
TF000,TG013,0.5543115659817338,0.0,True,,True,1.0,1.0325074129013956e-14,True,True
TF000,TG014,0.675701078195965,1.643068304092853e-16,True,,True,1.0,-4.9960036108132044e-15,False,False
TF000,TG018,0.9422587831725932,1.178257018615445e-16,True,,True,1.0,1.1102230246251565e-15,True,True
TF000,TG020,0.8140083617255346,0.0,True,39.417762,True,1.0,-6.217248937900877e-15,False,False
TF000,TG021,0.8482093254576525,0.0,True,,True,1.0,-1.3100631690576847e-14,False,False
TF000,TG022,0.5985017760713267,0.0,True,,True,1.0,8.104628079763643e-15,True,True
TF000,TG023,0.5904688530502349,0.0,True,11.393999,True,1.0,-6.994405055138486e-15,False,False
TF000,TG024,0.6138778713932853,1.808540552382746e-16,True,,True,1.0,1.1102230246251565e-14,True,True
TF000,TG026,0.7656513140482473,0.0,True,,True,1.0,1.2878587085651816e-14,True,True
TF000,TG028,0.6253191972718505,0.0,True,,True,1.0,-1.0547118733938987e-14,False,False
TF000,TG030,0.6037388992576825,1.838912526574341e-16,True,41.029131,True,1.0,3.885780586188048e-15,True,True
TF000,TG031,0.5299190864015291,2.095080273790933e-16,True,,True,1.0,4.884981308350689e-15,True,True
TF000,TG032,0.6440799989970849,0.0,True,,True,1.0,-5.551115123125783e-16,False,False
TF000,TG033,0.6305826836484866,1.7606303715819156e-16,True,,True,1.0,-8.104628079763643e-15,False,False
TF000,TG036,0.6169395722269227,0.0,True,,True,1.0,1.7319479184152442e-14,True,True
TF000,TG039,0.6006311350518406,0.0,True,,True,1.0,1.2878587085651816e-14,True,True
TF000,TG040,0.5545341891571842,0.0,True,,True,1.0,5.995204332975845e-15,True,True
TF000,TG046,0.8642735591085433,0.0,True,,True,1.0,-2.4313884239290928e-14,False,False
TF000,TG048,0.6199041616107547,0.0,True,,True,1.0,6.106226635438361e-15,True,True
TF000,TG049,0.6506783960060444,0.0,True,22.065104,True,1.0,6.217248937900877e-15,True,True
TF000,TG050,0.657659782535095,1.6881418844642688e-16,True,,True,1.0,-1.63202784619898e-14,False,False
TF000,TG051,0.5773140809799426,0.0,True,,True,1.0,8.659739592076221e-15,True,True
TF000,TG056,0.7852815300702749,1.4137898092749012e-16,True,,True,1.0,-3.4416913763379853e-15,False,False
TF000,TG057,0.6761437851879056,0.0,True,19.531888,True,1.0,-2.1094237467877974e-15,False,False
TF000,TG059,0.610221048150217,1.8193784498102972e-16,True,,True,1.0,5.773159728050814e-15,True,True
TF000,TG064,0.6558205405981009,0.0,True,,True,1.0,-2.9976021664879227e-15,False,False
TF000,TG066,0.5124173194223163,2.1666383678771597e-16,True,,True,1.0,6.439293542825908e-15,True,True
TF000,TG067,0.5728764456812625,0.0,True,,True,1.0,6.661338147750939e-16,True,True
TF000,TG068,0.5670574244176635,0.0,True,,True,1.0,9.880984919163893e-15,True,True
TF000,TG069,0.5423948281713217,0.0,True,,True,1.0,1.5987211554602254e-14,True,True
